Freq	Wavenum	WaveR		
300	999.9998505	99.98504533	99	98.504533
303.62	999.9997502	99.97501742	99	97.501742
307.23	999.9995903	99.9590265	99	95.90265
310.85	999.9993423	99.9342278	99	93.42278
314.47	999.9989685	99.89684904	99	89.684904
318.08	999.9984207	99.84207206	99	84.207206
321.7	999.9976405	99.76405319	99	76.405319
325.32	999.9965612	99.65612342	99	65.612342
328.93	999.9951111	99.51111046	99	51.111046
332.55	999.9932199	99.32199114	99	32.199114
336.17	999.9908275	99.08275086	99	8.275086
339.78	999.9878945	98.78945417	98	78.945417
343.4	999.9844142	98.44141906	98	44.141906
347.02	999.9804234	98.04233671	98	4.233671
350.64	999.9760113	97.60113416	97	60.113416
354.25	999.9713236	97.13236062	97	13.236062
357.87	999.966559	96.65590466	96	65.590466
361.49	999.9619592	96.19592451	96	19.592451
365.1	999.9577899	95.77899454	95	77.899454
368.72	999.9543162	95.43161955	95	43.161955
372.34	999.9517742	95.17741519	95	17.741519
375.95	999.9503436	95.03436221	95	3.436221
379.57	999.9501258	95.01258034	95	1.258034
383.19	999.9511301	95.11301494	95	11.301494
386.8	999.9532729	95.32728828	95	32.728828
390.42	999.9563876	95.6387624	95	63.87624
394.04	999.9602464	96.02463839	96	2.463839
397.65	999.9645873	96.45872896	96	45.872896
401.27	999.9691443	96.91443285	96	91.443285
404.89	999.9736743	97.36743424	97	36.743424
408.5	999.9779774	97.79774469	97	79.774469
412.12	999.9819087	98.19086854	98	19.086854
415.74	999.9853806	98.53806229	98	53.806229
419.35	999.9883582	98.8358246	98	83.58246
422.97	999.9908482	99.08482166	99	8.482166
426.59	999.9928874	99.28873698	99	28.873698
430.21	999.9945286	99.45286145	99	45.286145
433.82	999.9958312	99.58312394	99	58.312394
437.44	999.9968531	99.68530602	99	68.530602
441.06	999.9976458	99.76457678	99	76.457678
444.67	999.9982528	99.82527929	99	82.527929
448.29	999.9987089	99.87089225	99	87.089225
451.91	999.9990409	99.90409015	99	90.409015
455.52	999.9992684	99.92683976	99	92.683976
459.14	999.999405	99.94050068	99	94.050068
462.76	999.9994595	99.94594812	99	94.594812
466.37	999.9994352	99.94352383	99	94.352383
469.99	999.9993339	99.93338989	99	93.338989
473.61	999.9991544	99.91544428	99	91.544428
477.22	999.9988964	99.88963688	99	88.963688
480.84	999.9985598	99.85598028	99	85.598028
484.46	999.9981491	99.81490996	99	81.490996
488.07	999.9976756	99.76756024	99	76.756024
491.69	999.9971568	99.71567676	99	71.567676
495.31	999.9966174	99.66173658	99	66.173658
498.92	999.9960884	99.60884207	99	60.884207
502.54	999.9956048	99.56047681	99	56.047681
506.16	999.9952017	99.5201683	99	52.01683
509.78	999.9949107	99.49107478	99	49.107478
513.39	999.9947559	99.47559341	99	47.559341
517.01	999.9947501	99.47500559	99	47.500559
520.63	999.9948936	99.48935928	99	48.935928
524.24	999.9951742	99.51741709	99	51.741709
527.86	999.9955685	99.55684748	99	55.684748
531.48	999.9960454	99.60454325	99	60.454325
535.09	999.9965702	99.65702372	99	65.702372
538.71	999.9971085	99.7108488	99	71.08488
542.33	999.9976298	99.76297757	99	76.297757
545.94	999.9981101	99.81100991	99	81.100991
549.56	999.9985335	99.85334906	99	85.334906
553.18	999.9988916	99.88915935	99	88.915935
556.79	999.9991829	99.91829174	99	91.829174
560.41	999.9994112	99.9411183	99	94.11183
564.03	999.9995835	99.95834535	99	95.834535
567.64	999.9997083	99.97083426	99	97.083426
571.26	999.9997945	99.97945165	99	97.945165
574.88	999.9998496	99.98496015	99	98.496015
578.49	999.9998795	99.98795027	99	98.795027
582.11	999.9998881	99.98881004	99	98.881004
585.73	999.9998772	99.98772486	99	98.772486
589.35	999.999847	99.98470127	99	98.470127
592.96	999.9997961	99.97960984	99	97.960984
596.58	999.9997224	99.97224397	99	97.224397
600.2	999.9996239	99.96239159	99	96.239159
603.81	999.9994992	99.94991557	99	94.991557
607.43	999.9993484	99.93483565	99	93.483565
611.05	999.999173	99.91729892	99	91.729892
614.66	999.9989789	99.89789339	99	89.789339
618.28	999.9987736	99.87735939	99	87.735939
621.9	999.9985667	99.85666631	99	85.666631
625.51	999.9983688	99.83688305	99	83.688305
629.13	999.99819	99.81900204	99	81.900204
632.75	999.9980372	99.80372097	99	80.372097
636.36	999.9979119	99.79119121	99	79.119121
639.98	999.9978078	99.78077776	99	78.077776
643.6	999.9977086	99.77085717	99	77.085717
647.21	999.9975869	99.75869092	99	75.869092
650.83	999.9974041	99.74041225	99	74.041225
654.45	999.9971116	99.71115864	99	71.115864
658.06	999.9966538	99.66537715	99	66.537715
661.68	999.9959732	99.59731817	99	59.731817
665.3	999.9950171	99.50171227	99	50.171227
668.91	999.9937459	99.37459312	99	37.459312
672.53	999.9921419	99.21418953	99	21.418953
676.15	999.9902176	99.02176303	99	2.176303
679.77	999.9880224	98.80223516	98	80.223516
683.38	999.9856444	98.56443609	98	56.443609
687	999.9832083	98.32083356	98	32.083356
690.62	999.9808667	98.08667037	98	8.667037
694.23	999.9787854	97.87854476	97	87.854476
697.85	999.9771259	97.7125893	97	71.25893
701.47	999.9760251	97.60251102	97	60.251102
705.08	999.9755782	97.55781738	97	55.781738
708.7	999.9758255	97.58254576	97	58.254576
712.32	999.9767473	97.67473418	97	67.473418
715.93	999.9782673	97.82673323	97	82.673323
719.55	999.980263	98.02629607	98	2.629607
723.17	999.9825819	98.25818563	98	25.818563
726.78	999.9850624	98.50623906	98	50.623906
730.4	999.9875503	98.75502551	98	75.502551
734.02	999.9899145	98.99144603	98	99.144603
737.63	999.9920563	99.20562635	99	20.562635
741.25	999.9939126	99.39125918	99	39.125918
744.87	999.9954554	99.54554396	99	54.554396
748.48	999.9966831	99.66831112	99	66.831112
752.1	999.9976151	99.76150723	99	76.150723
755.72	999.9982803	99.82802865	99	82.802865
759.34	999.9987104	99.87104222	99	87.104222
762.95	999.9989331	99.89330579	99	89.330579
766.57	999.9989673	99.89673195	99	89.673195
770.19	999.9988217	99.88217087	99	88.217087
773.8	999.998494	99.84939794	99	84.939794
777.42	999.9979728	99.79727788	99	79.727788
781.04	999.9972407	99.72407349	99	72.407349
784.65	999.9962786	99.62786402	99	62.786402
788.27	999.9950703	99.50703456	99	50.703456
791.89	999.9936079	99.36079194	99	36.079194
795.5	999.9918966	99.18965646	99	18.965646
799.12	999.9899587	98.99587494	98	99.587494
802.74	999.9878377	98.7837682	98	78.37682
806.35	999.9855952	98.55952083	98	55.952083
809.97	999.983316	98.33159965	98	33.159965
813.59	999.9810996	98.10996468	98	10.996468
817.2	999.9790562	97.90562192	97	90.562192
820.82	999.9772983	97.72983222	97	72.983222
824.44	999.9759318	97.59317559	97	59.317559
828.05	999.9750457	97.50457427	97	50.457427
831.67	999.9747036	97.47036453	97	47.036453
835.29	999.9749356	97.49356053	97	49.356053
838.91	999.9757342	97.57341848	97	57.341848
842.52	999.9770539	97.70538985	97	70.538985
846.14	999.978815	97.88149852	97	88.149852
849.76	999.9809111	98.09111007	98	9.111007
853.37	999.9832199	98.32199494	98	32.199494
856.99	999.9856154	98.56153508	98	56.153508
860.61	999.987979	98.79790009	98	79.790009
864.22	999.9902103	99.0210313	99	2.10313
867.84	999.9922331	99.22331081	99	22.331081
871.46	999.9939986	99.39986173	99	39.986173
875.07	999.9954849	99.54848833	99	54.848833
878.69	999.9966932	99.66932487	99	66.932487
882.31	999.997643	99.76429674	99	76.429674
885.92	999.9983651	99.83650673	99	83.650673
889.54	999.9988965	99.8896485	99	88.96485
893.16	999.9992751	99.92751407	99	92.751407
896.77	999.9995364	99.95363818	99	95.363818
900.39	999.9997108	99.97108165	99	97.108165
904.01	999.9998234	99.98233776	99	98.233776
907.62	999.9998933	99.98933157	99	98.933157
911.24	999.9999348	99.9934788	99	99.34788
914.86	999.999958	99.99579848	99	99.579848
918.48	999.999969	99.99689986	99	99.689986
922.09	999.9999726	99.99726143	99	99.726143
925.71	999.9999715	99.99715144	99	99.715144
929.33	999.9999673	99.99673472	99	99.673472
932.94	999.9999613	99.99613381	99	99.613381
936.56	999.999954	99.99540142	99	99.540142
940.18	999.9999452	99.99451751	99	99.451751
943.79	999.9999359	99.9935923	99	99.35923
947.41	999.9999265	99.99265361	99	99.265361
951.03	999.9999173	99.99173274	99	99.173274
954.64	999.9999086	99.99086383	99	99.086383
958.26	999.9999008	99.99008252	99	99.008252
961.88	999.9998942	99.98942413	99	98.942413
965.49	999.9998892	99.98892136	99	98.892136
969.11	999.999886	99.98860137	99	98.860137
972.73	999.9998848	99.98848257	99	98.848257
976.34	999.9998857	99.9885715	99	98.85715
979.96	999.9998886	99.98886049	99	98.886049
983.58	999.9998933	99.98932683	99	98.932683
987.19	999.9998993	99.98993389	99	98.993389
990.81	999.9999063	99.99063452	99	99.063452
994.43	999.9999138	99.99137625	99	99.137625
998.04	999.9999211	99.99210769	99	99.210769
1001.66	999.9999278	99.99278493	99	99.278493
1005.28	999.9999338	99.9933769	99	99.33769
1008.9	999.9999387	99.9938686	99	99.38686
1012.51	999.9999426	99.99426168	99	99.426168
1016.13	999.9999457	99.99457235	99	99.457235
1019.75	999.9999476	99.99476239	99	99.476239
1023.36	999.9999482	99.99482216	99	99.482216
1026.98	999.9999481	99.99480559	99	99.480559
1030.6	999.9999458	99.99457807	99	99.457807
1034.21	999.9999397	99.99396873	99	99.396873
1037.83	999.9999265	99.99265045	99	99.265045
1041.45	999.9999009	99.99008529	99	99.008529
1045.06	999.9998543	99.98542701	99	98.542701
1048.68	999.9997741	99.97740597	99	97.740597
1052.3	999.999642	99.964199	99	96.4199
1055.91	999.9994331	99.94330559	99	94.330559
1059.53	999.9991146	99.91145663	99	91.145663
1063.15	999.998646	99.86460358	99	86.460358
1066.76	999.9979804	99.7980384	99	79.80384
1070.38	999.997067	99.70669552	99	70.669552
1074	999.9958567	99.58567011	99	58.567011
1077.61	999.9943095	99.43095298	99	43.095298
1081.23	999.9924033	99.24032977	99	24.032977
1084.85	999.9901434	99.01433604	99	1.433604
1088.47	999.987571	98.757097	98	75.7097
1092.08	999.9847686	98.47685683	98	47.685683
1095.7	999.9818522	98.18522351	98	18.522351
1099.32	999.9789884	97.89884209	97	89.884209
1102.93	999.9763514	97.63514355	97	63.514355
1106.55	999.9741204	97.41203713	97	41.203713
1110.17	999.9724525	97.24525338	97	24.525338
1113.78	999.971459	97.14589658	97	14.589658
1117.4	999.9711839	97.11838513	97	11.838513
1121.02	999.9715898	97.15897681	97	15.897681
1124.63	999.9725515	97.2551452	97	25.51452
1128.25	999.9738589	97.38588648	97	38.588648
1131.87	999.9752292	97.52291641	97	52.291641
1135.48	999.9763262	97.63262374	97	63.262374
1139.1	999.9767862	97.67862027	97	67.862027
1142.72	999.9762474	97.62473979	97	62.473979
1146.33	999.9743837	97.43836923	97	43.836923
1149.95	999.97094	97.09399767	97	9.399767
1153.57	999.9657681	96.5768095	96	57.68095
1157.18	999.9588602	95.88602272	95	88.602272
1160.8	999.9503751	95.03751451	95	3.751451
1164.42	999.9406515	94.06514943	94	6.514943
1168.04	999.9302021	93.02021012	93	2.021012
1171.65	999.9196849	91.96848778	91	96.848778
1175.27	999.9098493	90.98493384	90	98.493384
1178.89	999.9014626	90.14625591	90	14.625591
1182.5	999.8952235	89.52234911	89	52.234911
1186.12	999.8916785	89.16784565	89	16.784565
1189.74	999.8911521	89.11521119	89	11.521119
1193.35	999.8937064	89.37064222	89	37.064222
1196.97	999.8991319	89.91318798	89	91.318798
1200.59	999.9069884	90.6988381	90	69.88381
1204.2	999.9166571	91.66570669	91	66.570669
1207.82	999.9274248	92.74248498	92	74.248498
1211.44	999.9385701	93.85700953	93	85.700953
1215.05	999.9494367	94.94366859	94	94.366859
1218.67	999.959488	95.94880055	95	94.880055
1222.29	999.9683367	96.83367044	96	83.367044
1225.9	999.9757446	97.57445745	97	57.445745
1229.52	999.9816029	98.16028804	98	16.028804
1233.14	999.9858989	98.58988926	98	58.988926
1236.75	999.9886775	98.86774556	98	86.774556
1240.37	999.990006	99.00060129	99	0.060129
1243.99	999.9899495	98.99494543	98	99.494543
1247.61	999.9885585	98.85585049	98	85.585049
1251.22	999.9858726	98.58726056	98	58.726056
1254.84	999.9819356	98.1935569	98	19.35569
1258.46	999.97682	97.68199866	97	68.199866
1262.07	999.9706546	97.0654593	97	6.54593
1265.69	999.9636478	96.36478289	96	36.478289
1269.31	999.956101	95.61009515	95	61.009515
1272.92	999.9484054	94.84054338	94	84.054338
1276.54	999.9410214	94.10213791	94	10.213791
1280.16	999.9344413	93.4441328	93	44.41328
1283.77	999.9291415	92.91414877	92	91.414877
1287.39	999.9255083	92.55082806	92	55.082806
1291.01	999.923823	92.3823042	92	38.23042
1294.62	999.9241993	92.41992851	92	41.992851
1298.24	999.9265779	92.65779452	92	65.779452
1301.86	999.9307369	93.07369262	93	7.369262
1305.47	999.9363229	93.6322877	93	63.22877
1309.09	999.9428972	94.28972411	94	28.972411
1312.71	999.9499892	94.99892078	94	99.892078
1316.32	999.9571459	95.71459192	95	71.459192
1319.94	999.9639728	96.39727932	96	39.727932
1323.56	999.9701598	97.01597502	97	1.597502
1327.17	999.9754926	97.54925792	97	54.925792
1330.79	999.9798516	97.98515797	97	98.515797
1334.41	999.9832014	98.32013784	98	32.013784
1338.03	999.9855762	98.55762217	98	55.762217
1341.64	999.9870643	98.70643161	98	70.643161
1345.26	999.9877934	98.77933989	98	77.933989
1348.88	999.9879182	98.79182339	98	79.182339
1352.49	999.9876095	98.76094976	98	76.094976
1356.11	999.9870431	98.70431493	98	70.431493
1359.73	999.986391	98.63910281	98	63.910281
1363.34	999.9858081	98.58081164	98	58.081164
1366.96	999.985423	98.54230102	98	54.230102
1370.58	999.9853286	98.53285638	98	53.285638
1374.19	999.9855758	98.55757933	98	55.757933
1377.81	999.986172	98.61719882	98	61.719882
1381.43	999.9870836	98.70835644	98	70.835644
1385.04	999.9882433	98.82433262	98	82.433262
1388.66	999.9895629	98.95629284	98	95.629284
1392.28	999.9909361	99.09360937	99	9.360937
1395.89	999.9922659	99.22658857	99	22.658857
1399.51	999.9934623	99.34622799	99	34.622799
1403.13	999.9944535	99.44534808	99	44.534808
1406.74	999.9951901	99.5190091	99	51.90091
